Year,TS,H1,H2,H3,H4,H5
1851,3,2,0,1,0,0
1852,0,3,1,1,0,0
1853,4,1,1,1,1,0
1854,2,1,1,1,0,0
1855,1,1,2,1,0,0
1856,2,2,0,1,1,0
1857,1,1,2,0,0,0
1858,0,4,2,0,0,0
1859,1,3,3,1,0,0
1860,1,1,4,1,0,0
1861,2,4,2,0,0,0
1862,3,1,2,0,0,0
1863,4,1,4,0,0,0
1864,2,3,0,0,0,0
1865,4,1,2,0,0,0
1866,1,2,3,0,1,0
1867,2,2,4,1,0,0
1868,0,1,3,0,0,0
1869,3,2,4,1,0,0
1870,1,5,3,2,0,0
1871,2,3,1,2,0,0
1872,1,3,1,0,0,0
1873,2,1,0,2,0,0
1874,3,3,1,0,0,0
1875,1,3,1,1,0,0
1876,1,1,1,2,0,0
1877,5,2,0,1,0,0
1878,2,4,4,1,1,0
1879,2,2,2,2,0,0
1880,2,6,1,0,2,0
1881,3,2,2,0,0,0
1882,2,2,0,1,1,0
1883,0,2,0,2,0,0
1884,0,2,1,1,0,0
1885,2,5,1,0,0,0
1886,2,1,5,3,1,0
1887,7,6,4,2,0,0
1888,3,2,2,2,0,0
1889,3,4,2,0,0,0
1890,2,1,0,1,0,0
1891,3,3,3,1,0,0
1892,4,2,3,0,0,0
1893,2,1,4,4,1,0
1894,2,0,1,3,1,0
1895,4,0,2,0,0,0
1896,1,0,4,2,0,0
1897,3,2,1,0,0,0
1898,6,3,1,0,1,0
1899,5,0,3,1,1,0
1900,4,0,1,1,1,0
1901,7,5,1,0,0,0
1902,2,1,2,0,0,0
1903,3,3,3,1,0,0
1904,2,4,0,0,0,0
1905,4,0,0,1,0,0
1906,5,2,1,2,1,0
1907,5,0,0,0,0,0
1908,4,2,3,1,0,0
1909,6,0,2,4,0,0
1910,2,0,2,0,1,0
1911,3,1,2,0,0,0
1912,3,2,1,1,0,0
1913,2,4,0,0,0,0
1914,1,0,0,0,0,0
1915,1,1,1,1,2,0
1916,5,2,3,4,1,0
1917,2,0,0,1,1,0
1918,2,1,2,1,0,0
1919,3,0,1,0,1,0
1920,1,2,2,0,0,0
1921,1,4,0,1,1,0
1922,2,1,1,1,0,0
1923,5,2,1,1,0,0
1924,5,3,1,1,0,1
1925,2,2,0,0,0,0
1926,3,0,2,2,4,0
1927,4,2,1,1,0,0
1928,2,2,1,0,0,1
1929,2,2,0,0,1,0
1930,1,0,0,1,1,0
1931,10,1,1,0,1,0
1932,8,2,1,0,2,2
1933,8,4,2,1,3,2
1934,6,3,3,1,0,0
1935,3,1,1,0,2,1
1936,10,3,3,1,0,0
1937,6,2,2,1,0,0
1938,5,1,1,1,0,1
1939,3,2,0,0,1,0
1940,2,2,5,0,0,0
1941,2,1,0,2,1,0
1942,7,1,2,1,0,0
1943,5,0,3,1,1,0
1944,6,4,1,1,2,0
1945,6,1,2,1,1,0
1946,3,2,2,0,0,0
1947,5,1,2,1,1,0
1948,4,2,0,2,2,0
1949,8,4,2,1,1,0
1950,5,1,4,3,3,0
1951,4,4,1,1,2,0
1952,6,0,3,1,1,0
1953,7,4,0,2,0,1
1954,9,1,2,2,1,0
1955,4,2,4,1,2,1
1956,8,2,1,1,0,0
1957,4,2,0,1,1,0
1958,5,1,3,0,3,0
1959,7,5,0,1,1,0
1960,4,2,0,1,1,0
1961,3,1,0,3,2,2
1962,2,0,2,1,0,0
1963,2,2,3,1,1,0
1964,6,0,0,2,4,0
1965,2,2,1,0,1,0
1966,4,4,0,2,1,0
1967,2,4,1,0,0,1
1968,3,5,0,0,0,0
1969,6,5,2,4,0,1
1970,5,2,1,2,0,0
1971,7,4,1,0,0,1
1972,4,2,1,0,0,0
1973,4,3,0,1,0,0
1974,7,1,1,1,1,0
1975,3,1,2,2,1,0
1976,4,2,2,2,0,0
1977,1,4,0,0,0,1
1978,7,2,1,0,2,0
1979,3,3,1,0,1,1
1980,2,4,3,1,0,1
1981,5,3,1,2,1,0
1982,4,1,0,0,1,0
1983,1,2,0,1,0,0
1984,8,3,1,0,1,0
1985,4,4,0,2,1,0
1986,2,3,1,0,0,0
1987,4,2,0,1,0,0
1988,6,3,0,0,2,1
1989,4,3,2,0,1,1
1990,6,5,2,1,0,0
1991,4,1,1,1,1,0
1992,3,1,2,0,0,1
1993,5,2,1,1,0,0
1994,4,2,1,0,0,0
1995,8,3,3,2,3,0
1996,4,3,0,4,2,0
1997,5,2,0,1,0,0
1998,4,3,4,1,1,1
1999,4,0,3,0,5,0
2000,7,4,1,1,2,0
2001,6,4,1,2,2,0
2002,8,1,1,1,1,0
2003,9,3,1,1,1,1
2004,6,2,1,2,3,1
2005,13,7,1,2,1,4
2006,6,3,0,2,0,0
2007,9,5,0,0,0,2
2008,7,3,1,1,4,0
2009,6,0,1,1,1,0
2010,7,3,4,1,4,0
2011,12,3,0,2,2,0
2012,9,5,3,2,0,0
2013,12,2,0,0,0,0
2014,2,3,1,1,1,0
2015,7,2,0,1,1,0
2016,8,3,0,2,1,1
2017,7,2,2,2,2,2
