Punter_id,Hang_time,Distance,RLS,LLS,RHF,LHF,Power
1,4.75,162.5,170,170,106,106,240.57
2,4.07,144,140,130,92,93,195.49
3,4.04,147.5,180,170,93,78,152.99
4,4.18,163.5,160,160,103,93,197.09
5,4.35,192,170,150,104,93,266.56
6,4.16,171.75,150,150,101,87,260.56
7,4.43,162,170,180,108,106,219.25
8,3.2,104.93,110,110,86,92,132.68
9,3.02,105.67,120,110,90,86,130.24
10,3.64,117.59,130,120,85,80,205.88
11,3.68,140.25,120,140,89,83,153.92
12,3.6,150.17,140,130,92,94,154.64
13,3.85,165.16,160,150,95,95,240.57
